"V1","V2"
"Other language(s) spoken:","Other language(s) spoken:"
"EDUCATION - Total number of years of full-time equivalent formal academic education completed (from first grade on; not including trade school):","EDUCATION - Total number of years of full-time equivalent formal academic education completed (from first grade on; not including trade school):"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Completed post-graduate training - You","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Completed post-graduate training - You"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Completed post-graduate training - Mother","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Completed post-graduate training - Mother"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Completed post-graduate training - Father","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Completed post-graduate training - Father"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Completed post-graduate training - Spouse","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Completed post-graduate training - Spouse"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Completed College, received four year academic degree - You","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Completed College, received four year academic degree - You"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Completed College, received four year academic degree - Mother","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Completed College, received four year academic degree - Mother"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Completed College, received four year academic degree - Father","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Completed College, received four year academic degree - Father"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Completed College, received four year academic degree - Spouse","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Completed College, received four year academic degree - Spouse"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Attended college, but did not receive four year academic degree - You","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Attended college, but did not receive four year academic degree - You"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Attended college, but did not receive four year academic degree - Mother","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Attended college, but did not receive four year academic degree - Mother"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Attended college, but did not receive four year academic degree - Father","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Attended college, but did not receive four year academic degree - Father"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Attended college, but did not receive four year academic degree - Spouse","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Attended college, but did not receive four year academic degree - Spouse"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Completed high school or trade school or other non-academic training requiring high-school completion for admission - You","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Completed high school or trade school or other non-academic training requiring high-school completion for admission - You"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Completed high school or trade school or other non-academic training requiring high-school completion for admission - Mother","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Completed high school or trade school or other non-academic training requiring high-school completion for admission - Mother"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Completed high school or trade school or other non-academic training requiring high-school completion for admission - Father","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Completed high school or trade school or other non-academic training requiring high-school completion for admission - Father"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Completed high school or trade school or other non-academic training requiring high-school completion for admission - Spouse","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Completed high school or trade school or other non-academic training requiring high-school completion for admission - Spouse"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Partial high school (10th or 11th grade) - You","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Partial high school (10th or 11th grade) - You"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Partial high school (10th or 11th grade) - Mother","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Partial high school (10th or 11th grade) - Mother"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Partial high school (10th or 11th grade) - Father","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Partial high school (10th or 11th grade) - Father"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Partial high school (10th or 11th grade) - Spouse","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Partial high school (10th or 11th grade) - Spouse"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Junior high school (7th, 8th, or 9th grade) - You","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Junior high school (7th, 8th, or 9th grade) - You"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Junior high school (7th, 8th, or 9th grade) - Mother","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Junior high school (7th, 8th, or 9th grade) - Mother"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Junior high school (7th, 8th, or 9th grade) - Father","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Junior high school (7th, 8th, or 9th grade) - Father"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Junior high school (7th, 8th, or 9th grade) - Spouse","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Junior high school (7th, 8th, or 9th grade) - Spouse"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Less than 7th grade - You","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Less than 7th grade - You"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Less than 7th grade - Mother","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Less than 7th grade - Mother"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Less than 7th grade - Father","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Less than 7th grade - Father"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Less than 7th grade - Spouse","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Less than 7th grade - Spouse"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Does not apply (i.e. dependent or no spouse) - You","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Does not apply (i.e. dependent or no spouse) - You"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Does not apply (i.e. dependent or no spouse) - Mother","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Does not apply (i.e. dependent or no spouse) - Mother"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Does not apply (i.e. dependent or no spouse) - Father","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Does not apply (i.e. dependent or no spouse) - Father"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Does not apply (i.e. dependent or no spouse) - Spouse","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Does not apply (i.e. dependent or no spouse) - Spouse"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Information not available - You","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Information not available - You"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Information not available - Mother","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Information not available - Mother"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Information not available - Father","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Information not available - Father"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Information not available - Spouse","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Information not available - Spouse"
"If highest level of education is not available please specify why. - You","If highest level of education is not available please specify why. - You"
"If highest level of education is not available please specify why. - Mother","If highest level of education is not available please specify why. - Mother"
"If highest level of education is not available please specify why. - Father","If highest level of education is not available please specify why. - Father"
"If highest level of education is not available please specify why. - Spouse","If highest level of education is not available please specify why. - Spouse"
"OCCUPATION/FAMILY EMPLOYMENT:

 

What is the highest level of occupation attainment achieved by you, your mother, father, and spouse? (Enter in actual occupation below) - Your Occupation","OCCUPATION/FAMILY EMPLOYMENT:

 

What is the highest level of occupation attainment achieved by you, your mother, father, and spouse? (Enter in actual occupation below) - Your Occupation"
"OCCUPATION/FAMILY EMPLOYMENT:

 

What is the highest level of occupation attainment achieved by you, your mother, father, and spouse? (Enter in actual occupation below) - Mother's Occupation","OCCUPATION/FAMILY EMPLOYMENT:

 

What is the highest level of occupation attainment achieved by you, your mother, father, and spouse? (Enter in actual occupation below) - Mother's Occupation"
"OCCUPATION/FAMILY EMPLOYMENT:

 

What is the highest level of occupation attainment achieved by you, your mother, father, and spouse? (Enter in actual occupation below) - Father's Occupation","OCCUPATION/FAMILY EMPLOYMENT:

 

What is the highest level of occupation attainment achieved by you, your mother, father, and spouse? (Enter in actual occupation below) - Father's Occupation"
"OCCUPATION/FAMILY EMPLOYMENT:

 

What is the highest level of occupation attainment achieved by you, your mother, father, and spouse? (Enter in actual occupation below) - Spouse's Occupation (if not applicable, type ""NA"")","OCCUPATION/FAMILY EMPLOYMENT:

 

What is the highest level of occupation attainment achieved by you, your mother, father, and spouse? (Enter in actual occupation below) - Spouse's Occupation (if not applicable, type ""NA"")"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - > $250,001 - You","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - > $250,001 - You"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - > $250,001 - Mother","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - > $250,001 - Mother"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - > $250,001 - Father","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - > $250,001 - Father"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - > $250,001 - Spouse","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - > $250,001 - Spouse"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $100,001 – $250,000 - You","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $100,001 – $250,000 - You"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $100,001 – $250,000 - Mother","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $100,001 – $250,000 - Mother"
